Company Name,Role/Position,Skills Required,Allowance,Location,Remote Option,Company Reputation Score
Tech Solutions Inc.,Web Development Intern,"HTML, CSS, JavaScript",5000,Iloilo City,Yes,4
DataWise Analytics,Data Analysis Intern,"Python, SQL, Excel",7000,Manila City,No,5
Creative Studios,Graphic Design Intern,"Adobe Photoshop, Illustrator",4000,Cebu City,Yes,3
Global Systems Ltd.,Network Admin Intern,"Cisco, Linux, TCP/IP",6000,Iloilo City,No,4
Mobile Innovations,Mobile App Development Intern,"Java, Android SDK, iOS SDK",8000,Davao City,Yes,5
Innovatech Systems,Software Engineering Intern,"C++, Git, Agile",9500,Quezon City,No,4
Bright Futures Co.,Marketing Intern,"Digital Marketing, SEO, Content Creation",5500,Bacolod City,Yes,3
Alpha Dynamics,Finance Intern,"Accounting, Financial Analysis",8200,Makati City,No,5
WebCrafters Inc.,UI/UX Design Intern,"Figma, Sketch, User Research",6800,Taguig City,Yes,4
CodeGenius Labs,Data Science Intern,"R, Machine Learning, Statistics",9200,Pasig City,Yes,5
Pixel Perfect Designs,Graphic Design Intern,"Adobe InDesign, Branding",4300,Iloilo City,No,3
NetWorks Ltd.,Network Security Intern,"Cybersecurity, Firewall, Intrusion Detection",7100,Manila City,No,4
AppMakers Co.,Mobile Development Intern,"Swift, Kotlin, UI Design",8400,Cebu City,Yes,5
SoftSolutions Inc.,Software Testing Intern,"Selenium, JUnit, Test Automation",5800,Davao City,No,4
MarketMasters,Marketing Research Intern,"Market Analysis, SPSS, Data Visualization",6500,Quezon City,Yes,3
FinGlobal Ltd.,Financial Planning Intern,"Investment Analysis, Economics",7900,Bacolod City,No,5
DesignHub,Web Design Intern,"HTML5, CSS3, Responsive Design",6200,Makati City,Yes,4
AI Frontiers,AI Research Intern,"TensorFlow, PyTorch, Natural Language Processing",9100,Taguig City,Yes,5
Digital Dreams Inc.,Digital Marketing Intern,"Social Media Marketing, Google Analytics",5200,Pasig City,Yes,3
CloudConnect,Cloud Computing Intern,"AWS, DevOps, System Administration",7400,Iloilo City,No,4
DataStream Analytics,Business Intelligence Intern,"Tableau, Data Warehousing, ETL",8700,Manila City,Yes,5
Visionary Studios,Video Editing Intern,"Adobe Premiere Pro, After Effects",3900,Cebu City,Yes,3
SecureNet Systems,Cybersecurity Intern,"Network Security, Ethical Hacking, Vulnerability Assessment",6900,Davao City,No,4
AdWise Agency,Advertising Intern,"Campaign Management, Creative Strategy",5600,Quezon City,Yes,3
MoneyMakers Inc.,Investment Banking Intern,"Financial Modeling, Valuation",8100,Bacolod City,No,5
CodeCrafters Ltd.,Full Stack Development Intern,"MERN Stack, RESTful APIs",6400,Makati City,Yes,4
Language AI,Natural Language Processing Intern,"NLTK, SpaCy, Text Mining",9300,Taguig City,Yes,5
SocialSphere,Social Media Management Intern,"Content Strategy, Community Engagement",4900,Pasig City,Yes,3
InfraBuild,Infrastructure Management Intern,"Linux, Virtualization, Cloud Services",7200,Iloilo City,No,4
Insightful Data,Data Architect Intern,"Big Data, Hadoop, Spark",8500,Manila City,Yes,5
MediaMagic,Multimedia Design Intern,"Animation, Sound Design",3800,Cebu City,Yes,3
ShieldTech,Information Security Intern,"Risk Management, Security Audits",7000,Davao City,No,4
BrandBuilders,Brand Management Intern,"Market Research, Product Development",5700,Quezon City,Yes,3
WealthWise,Wealth Management Intern,"Portfolio Management, Financial Planning",8300,Bacolod City,No,5
DevCentral,Web Development Intern,"JavaScript Frameworks, Backend Development",6300,Makati City,Yes,4
SpeechTech,Speech Recognition Intern,"Acoustic Modeling, Speech Synthesis",9400,Taguig City,Yes,5
BuzzCreators,Content Marketing Intern,"Blogging, Copywriting, SEO Optimization",5100,Pasig City,Yes,3
NetSolutions,Network Engineer Intern,"Routing, Switching, Network Protocols",7300,Iloilo City,No,4
DataWhiz,Data Mining Intern,"Data Warehousing, Data Modeling",8600,Manila City,Yes,5
VisualVibe,Visual Effects Intern,"3D Modeling, Rendering",4000,Cebu City,Yes,3
CyberGuard,Cyber Threat Analyst Intern,"Incident Response, Forensics",7100,Davao City,No,4
MarketEdge,Market Research Analyst Intern,"Survey Design, Statistical Analysis",5800,Quezon City,Yes,3
FundFirst,Financial Analyst Intern,"Budgeting, Forecasting",8400,Bacolod City,No,5
WebWorks,Front End Developer Intern,"CSS Preprocessors, UI Libraries",6400,Makati City,Yes,4
VoiceAI,Voice Assistant Development Intern,"Dialog Systems, Voice User Interface",9500,Taguig City,Yes,5
ContentKing,Content Strategy Intern,"Editorial Planning, Content Promotion",5000,Pasig City,Yes,3
SystemSpec,Systems Administrator Intern,"Server Management, Automation",7200,Iloilo City,No,4
DataDive,Data Scientist Intern,"Predictive Modeling, Time Series Analysis",8700,Manila City,Yes,5
MotionMakers,Motion Graphics Intern,"After Effects, Cinema 4D",4100,Cebu City,Yes,3
SecureSphere,Security Engineer Intern,"Penetration Testing, Security Architecture",7000,Davao City,No,4
InvestIQ,Investment Banker Intern,"Mergers and Acquisitions, Equity Research",8200,Bacolod City,No,5
CodeCanvas,Software Developer Intern,"Object-Oriented Programming, Design Patterns",6500,Makati City,Yes,4
TalkTech,Chatbot Developer Intern,"Conversational AI, Natural Language Understanding",9300,Taguig City,Yes,5
MediaMogul,Digital Media Intern,"Video Production, Graphic Design",5200,Pasig City,Yes,3
InfraCore,Infrastructure Engineer Intern,"Cloud Infrastructure, DevOps Practices",7400,Iloilo City,No,4
DataLens,Data Visualization Intern,"D3.js, Charting Libraries",8800,Manila City,Yes,5
PixelPusher,Pixel Artist Intern,"Sprite Design, Animation",4200,Cebu City,Yes,3
CyberMind,Cybersecurity Analyst Intern,"Security Information and Event Management (SIEM), Threat Intelligence",7100,Davao City,No,4
MarketMaven,Marketing Coordinator Intern,"Social Media Advertising, Email Marketing",6000,Quezon City,Yes,3
FinFocus,Financial Controller Intern,"Auditing, Tax Preparation",8500,Bacolod City,No,5
WebWizards,Webmaster Intern,"Website Maintenance, SEO",6600,Makati City,Yes,4
AIInnovators,Artificial Intelligence Engineer Intern,"Deep Learning, Computer Vision",9600,Taguig City,Yes,5
SocialSync,Social Media Specialist Intern,"Influencer Marketing, Analytics Reporting",5300,Pasig City,Yes,3
NetNinja,Network Architect Intern,"SDN, Network Virtualization",7500,Iloilo City,No,4
DataDreamers,Data Engineer Intern,"ETL Processes, Data Pipelines",8900,Manila City,Yes,5
VisualVerse,Graphic Designer Intern,"Typography, Layout Design",4300,Cebu City,Yes,3
SecureShell,Security Consultant Intern,"Risk Assessment, Compliance",7200,Davao City,No,4
AnalystAce,Data Analyst Intern,"Statistical Modeling, Reporting",6100,Quezon City,Yes,3
InvestPro,Investment Manager Intern,"Asset Allocation, Financial Markets",8600,Bacolod City,No,5
CodeCrafters,Software Engineer Intern,"Agile Development, Software Architecture",6700,Makati City,Yes,4
